Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,66.421,-76.581,0.0,bottom
C2,100nF,C_0805_2012Metric,85.471,-76.581,0.0,bottom
C3,100nF,C_0805_2012Metric,104.521,-76.581,0.0,bottom
C4,100nF,C_0805_2012Metric,123.571,-76.581,0.0,bottom
C5,100nF,C_0805_2012Metric,66.421,-95.631,0.0,bottom
C6,100nF,C_0805_2012Metric,85.471,-95.631,0.0,bottom
C7,100nF,C_0805_2012Metric,104.46,-95.631,0.0,bottom
C8,100nF,C_0805_2012Metric,66.421,-114.681,0.0,bottom
C9,100nF,C_0805_2012Metric,85.471,-114.681,0.0,bottom
C10,100nF,C_0805_2012Metric,104.521,-114.681,0.0,bottom
C11,100nF,C_0805_2012Metric,123.571,-105.156,0.0,bottom
C12,100nF,C_0805_2012Metric,66.421,-133.731,0.0,bottom
C13,100nF,C_0805_2012Metric,85.471,-133.731,0.0,bottom
C14,100nF,C_0805_2012Metric,104.521,-133.731,0.0,bottom
C15,100nF,C_0805_2012Metric,75.946,-152.781,0.0,bottom
C16,100nF,C_0805_2012Metric,104.521,-152.781,0.0,bottom
C17,100nF,C_0805_2012Metric,123.571,-143.256,0.0,bottom
C18,100nF,C_0805_2012Metric,97.79,-51.435,270.0,bottom
D1,1N4148,D_SOD-123,79.883,-78.232,90.0,bottom
D2,1N4148,D_SOD-123,98.933,-78.232,90.0,bottom
D3,1N4148,D_SOD-123,117.983,-78.359,90.0,bottom
D4,1N4148,D_SOD-123,137.033,-78.359,90.0,bottom
D5,1N4148,D_SOD-123,79.883,-97.282,90.0,bottom
D6,1N4148,D_SOD-123,98.933,-97.282,90.0,bottom
D7,1N4148,D_SOD-123,117.983,-97.282,90.0,bottom
D8,1N4148,D_SOD-123,79.883,-116.332,90.0,bottom
D9,1N4148,D_SOD-123,98.933,-116.332,90.0,bottom
D10,1N4148,D_SOD-123,117.983,-116.332,90.0,bottom
D11,1N4148,D_SOD-123,137.033,-106.807,90.0,bottom
D12,1N4148,D_SOD-123,79.883,-135.382,90.0,bottom
D13,1N4148,D_SOD-123,98.933,-135.382,90.0,bottom
D14,1N4148,D_SOD-123,117.983,-135.382,90.0,bottom
D15,1N4148,D_SOD-123,89.408,-154.432,90.0,bottom
D16,1N4148,D_SOD-123,117.983,-154.432,90.0,bottom
D17,1N4148,D_SOD-123,137.033,-144.907,90.0,bottom
R1,500R,R_0805_2012Metric,102.87,-51.435,270.0,bottom
U2,SN74LV1T34DCK,SOT-353_SC-70-5,100.33,-46.99,270.0,bottom
